ward	name
1 - Makulewa	Alisge Tudor Premarathne
2 - Hurigaswewa	Arumugamge Vasantha
3 - Kalankuttiya	Bandaranayake Mudiyanselage Sachitha Wiranga Bandaranayake
4 - Karuwalagaswewa	Wijekoon Mudiyanselage Udayakumara Wijekoon
5 - Bulnewa	Millagahamada Gedera Thushari Lakmali Dayananda
6 - Siyambalewa	Bamunu Arachchi Pathirannahelage Sisira Kumara
7 - Galnewa	Danthanarayanage Amarasinghe
8 - Awukana	Kumarapeli Arachchige Gamini Samarasinghe
9 - Negama	Dewranganayalage Kasun Darshana Jayampathi
10 - Siyambalangamuwa	Dodammullage Priyantha Udaya Kumara
