ward	name
1 -	Sumith Vimaladasa
2 -	Rathnayakage Senro Dammika Rathnayaka
3 -	Herath Mudiyanselage Jagath Nishantha Kumara Herath
4 -	Sareepdeen Payroos
5 -	Muthukude Gedara Somasiri Rathnayaka
6 -	Edirisingha Arachchilage Lakshitha Asitha Kumara
7 -	Indhunil Thushara Rathnayaka
8 -	Herath Bandage Udara Pathum Siri Samarathunga
9 -	Rajapaksha Gedara Sasikala Jayamali
10 -	Loku Lekam Ralalage Abeyathna Ranathunga
11 -	Karunarathna
12 -	Hibutu Godage Sujatha Deepani
13 -	Pita Baddara Vitharanalage Lakshman Gunawaradana
14 -	Wickramasingha Mudiyanselage Sarath
15 -	Mohomad Impiyas
16 -	Rambandage Sachintha Malshaka Bandara
