ward	name
1 -	H. Somarathna
2 -	R.M. Gunathilaka
3 -	K.H.A.K.S. Jayawickrama
4 -	H.M. Priyantha Herath
5 -	R. Dilrukshi Premakanthi
6 -	W.M. Gunarath Banda
7 -	I.M. Jayasinghe Bandara
8 -	C.H.M.T.A.B. Chandrasekara
9 -	W.M.C.L.H. Wasala
9 -	A.C.M. Riswan
10 -	H.M. Lakshika Manel Madduma Kumari
11 -	I.M. Gunathilaka
12 -	R.A. Sunil Premarathna
13 -	W.A.M. Nimal Premathilaka
14 -	W.M.Ishara Ruwanthi Wijerathna
15 -	A.M. Jayalath
16 -	K.M.Senarathna
17 -	D.M.A.S. Dissanayaka
18 -	A.M.P.R. Sumeda Kumara Herath
19 -	M.M. Mahinda Bandara
