ward	name
1 - Dola Mawatha	Hengala Withanage Hansaka Dulman
2 -	Anuththara Chamindi Abeythunga
3 -	Mudugamuwe Arachchige Gamini Devapriya
4 -	Hewage Sunil
5 -	Dematapassa Liyanage Sunil
6 -	Jayawardana Galhenage Sandun Chaminda
7 -	Hewa Kathuwandeniyage Upul Hemakumara
8 -	Isurumal Palliyaguruge
9 -	Iluppelle Pathiranage Chaminda
10 -	Maramba Ranawakage Ruwan Priyadarshana
11 -	Mudugamuwa Hewage Ruwan Janaka
12 -	Thenni Arachchige Shantha Kumara Lal
13 -	Hewa Uluwattage Chanuka Priyalaksha
14 -	Omantha Mudiyanselage Nirosha Dilrukshi
