ward	name
1 - Gombaddala	Munasinge Samantha
2 - Mulatiyana	Kulani Kanchana Ranaweera
3 - Deiyandara	Gammeddege Ajantha
4 - Ketiyape	Kulappu Gamage Sujith Buddhika
5 - Dewalegama	Ranamukage Kapila
6 - Pitawalagamuwa	Nawamuni Aarachchige Wijethunga
7 - Radawela	Handunnettige Nihal Kapila Keerthi
8 - Seenipella	Lalith Indika Rajapaksha
9 - Beragama	Ranasingha Gayathri Chathurika Ranasingha
10 - Makandura	Hewa Imaduwa Gamage Mahinda
11 - Ransegoda	Nalaka Prabath Gamage
12 - Meepawita	Gamage Anura Shantha
13 - Bamunugama	Kodagoda Aarachchige Aruna Priyankara
