ward	name
1 - kandapola	Punchihewage Eranga Lakmal silva
2 - Park	Kaalimuththu Pradeepan
3 - Galpalama	Kottal Bedde Vidanelage Sarath Kumara
4 - Pedroo	Aluth Gedara Harahage Rathnayake Mudiyanselage Prasanna sampath
5 - Shanthipura	Jayasinghe Mudiyanselage Suranga Weerasundara
9 - Nanuoya	Elawelle Gedara Darshana Ruwan Kumara
10 - Magoda	Don Chandrasiri Balagamage
11 - Ruwaneliya	Balapatabedige Suresh Damayantha
12 - Seethaeliya	Hapuhinge Gedara Geethani Vinodani Darmarathne
13 - Meepilimana	Don Nelka Roshini Dissanayake
14 - Perakumpura	Wijekoon Mudiyanselage Rohitha
15 - Kirimetiya	Dewaraj Mony
16 - Waltrim	Ponnusaami Bhaktha Kumar
29 - Ambewela	Solai Muththu Selva Raja
