ward	name
1 -	Warnakulasooriya Shanthi Lakmali Warnakulasooriya
2 -	Sameera Alang
3 -	Katugahage Dharmadasa
4 -	Girigoris Pillage Ishara Sasitha Madhusanka Peiris
5 -	Mohotti Mudiyanselage Sugath Dharmasena
6 -	Hetti Arachchige Rexy Perera
7 -	Isurumuni Arachchilage Sudath Premasiri
8 -	Warnakulasooriya Migamage Rohana Thushara
9 -	Mallawa Arachchi Kankanamage Upul Chaminda
10 -	Wijaya Sooriya Arachchige Don Sunimal Antony
11 -	Ambrosige Akila Sampath
12 -	Kandaiya Sivakumar
13 -	Warnakulasooriya Sumith Keerthi Thisera
14 -	Warnakulasooriya Palakuttige Sajith Shehan Fernando
