ward	name
1 - Kalatuwawa West	Pallayalage Roshan Kingsly Ariyawansha
2 - Walawita	Weediyage Tharusha Thilanga Jayalal
3 - Diwrumpitiya	Aluthdurage Somarathna
4 - Meennana	Wake Liyanage Ruwan Liyanage
5 - Bopetta Didda	Hiripitiyalage Weerasinghe Hiripitiya
6 - Udumaththa	Hapanthilakage Sujeewa Lakmal Wijesinghe
7 - Iddamalgoda	Senadheerage Karunadasa
8 - Pelpitiya	Ambagahadeniya Ranjith Kumarasinghe
9 - Wilegoda	Athuraliyage Thushara Chandana Athuraliya
10 - Kendangamuwa	Udumulla Arachchige Krishanthika Dilani Sirisena
10 - Kendangamuwa	Ambe Muhamdiramalage Mohomad Javisakeen Mohomad Yaseer
11 - Yakudagoda	Gamlath Hewage Sujeewa Nilantha Kumara Wijesooriya
12 - Mahara	Liyana Lekamlage Prabath Kumara
13 - Wiyalagoda	Wickramagamaethiralalage Ashoka Gunarathna
14 - Paleegala	Aththanayaka Ranabahulage Sunil Jayalath
15 - Mitipola	Hettiarachchillage Anura Gamini Hettiarachchi
16 - Karandana North	Liyana Arachchillage Indrani
17 - Karndana South	Pathagama Udagedaralage Sunethra Ranjanee Karunarathna
18 - Hindurangala	Madanasinghe Arachchillage Chanaka Wijerathna
