ward	name
1 - Gonogolla	Deyage Madhu Deshani Piyumali Piyathissa
2 - Nugelanda	Moragalage Kelum Priyashantha
3 - Rajagalathenna	Ayiranege Srilal Pradeep Kumara
4 - Galapitagala	Adhathsooriyage Dhon Manjula Adhathsooriya
5 - Mayadunna	Kalapuge Dhon Kumarasiri
6 - Werenketegoda	Kumarasiri Mohotti
7 - Bokkebedda	Athapaththu Arachchilage Anura Shantha Banda
8 - Mahakandiya	Rathnayaka Mudiyanselage Rathnasiri Bandara
9 - Himidurawa	Herath Mudiyanselage Herath Gunathilaka
10 - Dematamalpelessa	Game Kankanamlage Sanjaya Madhushanka Thilakasiri
11 - Uhana	Wickrma Kaluthotage Kalpa Prasanga
12 - Thissapura	Heennarangedara Chandima Janaka Somasiri
13 - Weeragoda	Jayasundara Mudiyanselage Kularathna
14 - Rajagama	Dissanayaka Mudiyanselage Sumithrani
15 - Wijayapura	Naranvita Udadeniye Wedaralalage Tasitha Nihal Bandara
16 - Dadayamthalawa	Galagadage Chaminda Kumara
17 - Ruhunugama	Thero Minipe Vijitha
