ward	name
1 - Akkaraipattu West	Ahamad Lebbe Rinos
2 - New Mosque	Mohamed Raihan Fathima Reema
3 - Technical College	Abdul Gafoor Mohamed Asry
4 - Kadiriya - North	Abdul Siddeek Beevi Saharban
5 - Kadiriya - South	Junaideen Manas
6 - Akkaraipattu East	Mohamed Gani Mohamed Fahurudeen
7 - Nooraniya	Aboosali Mohamed Zulfikar
8 - Badur	Ahamed Kabeer Ahamed Fahim
9 - Akkaraipattu Town	Athamlebbe Arif
10 - Town Mosque	Mohamed Ismail Mohamed Atheer
11 - Grand Mosque	Mohamed Sulthan Ahamed Shahee
12 - Falah	Seinalabdeen Mohamed Safees
