ward	name
1 - Jangulla	Rajamuni Dewage Lakshika Omali Ranmuthugala
2 - Bogoda	Rathnayaka Mudiyanselage Gunarathna
2 - Bogoda	Dissanayaka Mudiyanselage Kasthuri Kapilarathna Bandara
3 - Anthuduwawela	Kadar Raasikin
4 - Haliela	Munasinghe Karunalayan Priyantha
4 - Haliela	Murugesu Hariprasanna
5 - Bogahamadithta	Samarakoon Mudiyanselage Sunanda Samarakoon
6 - Mahawathtegama	Bulathsinhalage Pradip Kumara Ranjith
7 - Welikemulla	Ovitipana Walauwe Sathsara Bandara Ovitipana Jayathilaka
8 - Imbulgoda	Jamaideen Haleema Beebi
9 - Kandana	Arumugam Darmaraja
10 - Springvalley	Hennayaka Mudiyanselage Nuwan Buddhika Hennayaka
11 - Medagama	Siwaraja Srikanth
12 - Uduwara	Sewenda Lingam Subramaniyam
12 - Uduwara	Nadaraja Sathasiwam Anandan
13 - Morethota	Subramaniyam Sudagar
14 - Niliathugoda	Nakandalage Dona Chandrika
15 - Attampitiya	Basthiyan Koralalage Wejekusum Rodrigoo
15 - Attampitiya	Ekanayaka Mudiyanselage Sarananda Gamini Ekanayaka
16 - Wepassawela	Weerasinghelage Weerasinghe
17 - Katugaha	Thennakoon Mudiyanselage Nandawathi
18 - Maligathenna	Palaniyndi Ragupathi
19 - Kurukudhe	Weligamage Wajira Amarasena
20 - Maliththa	Thelge Dayas Weerasena
