ward	name
1 - Mathagal	Thevasagayam Marianesan
2 - Elavalai	Thevarasa Laxman
3 - Periyavilan	Paththinathar Juderobinson
4 - Pandatharippu	Alphonse Donzing
5 - Sillalai	Anne Nirosha Ignasious Terindran
6 - Vadaliyadaippu	Thangarasa Kumanan
7 - Piranpattu	Shinnathurai Mahendran
8 - Makiyapitti Sandilipay	Sivasanmuganathan Anushan
9 - Sandilipay South West	Kandiya Yeseethan
10 - Manipay North West	Kalok Gananathan Ushanthan
11 - Navaly North	Rasarathnam Vanniyasekaram
12 - Manipay South - East	Anthonypillai Jebanesan
13 - Sudumalai	Perinpanayagam Subakar
14 - Navaly South - East	Sellappa Shivpatham
15 - Savatkadu	Kumarasamy Dharmasingam
16 - Uyarappulam	Gnanasingam Anton Rajasekaran
17 - Anaikkoddai	Marikalista Thayaparan
