ward	name
1 - Vilana udagama	Karunathilaka Mudiyandelage Jayantha Bandara
2 - Vilana palegama	Nauru Pichche Mehammdu Jifri
3 - Alawathugda	Warga Jeyshta Mudiyansele Iresha Buddhika Arambepola
3 - Alawathugda	Ponnaiya Dewaraja
4 - Mawathupola	Wijekoon Mudiyanselage Indunil Bandara Wijekoon
5 - Dippitiya	Leema Gaha Mula Waththegedara Sunil
6 - Niralla	Wargajeyshata Mudiyansele Darshana Prema Bandara Arambepola
7 - konakalagala	Hele Gedara Prasanna Salika Munasinghe
8 - Pangollamada	Dissanayake Mudiyanselage Pitiye Gedara Gamini Chaminda Bandara Dissanayake
9 - Kurugoda	Chathura Lakmal Wijewardhane
10 - Bulugohothenna	Abeykoon Mudiyanselage Puskoho Gedara Saliya Bandara Abeysinghe
11 - Udaweliketiya	Basnayake Mudiyanselage Udeni Kumari Basnayake
12 - Pallewelikatiya	Bandarawaththe Gamagedara Sisira Kumara Bandarawaththa
13 - Akurana	Aththanayake Mudiyanselage Priyantha Nawarathna Aththanayake
14 - Waragashinna	Dissanayake Mudiyanselage Anula Kumarihami
15 - Kurudugahaela	Shanthi Udesiri Yapa
16 - Thelabughawatta	Amarakoon Mudiyanselage Sachintha Amarakoon
17 - Digala dunuwila	Meegam Kattuwe Gedara Janaka Jayapala
