ward	name
1 - kelebokka	Soneyi Subramaniyam
2 - Mahapathana Watakele	Rajapaksha Mudalige Ashoka Priyantha
3 - Kosgama	Palaniyappan Selvaraj
4 - Thawalanthenna	Dharma Sri Rajapakshage Udayangani Karunarathna
5 - Beddegama Gomaraya	Aluth Gedara Senavirathna
6 - Araththana	Waraduwela Palleegedara Jayasiri
7 - Madulkele	Alagan Singaram
8 - Hatale	Kodithuwakku Arachchilage Manjula Deshapriya Weerathunga
9 - Angammana panvila	Palath Muladeni Gedara Nihal Rajapasha
10 - Pitawala Udugoda	Uduporowe Karuna Rajapaksha Gedara Bensli Ruwan Chamara Rajapaksha
