ward	name
1 -	Athugal Pejjalage Sujeewa Sampath Kumara Jayarathna
2 -	Unga Wedalage Sarath Kumara Abeydheera
3 -	Basnayaka Mudiyanselage Saman Kumara Basnayaka
4 -	Segu Adam Udayarge Prem Kriyas
5 -	Rathnayaka Mudiyanselage Ajantha Kumari Rathnayaka
6 -	S Mohottalalage Chamila Thushanthi Wijerathna
7 -	Abeygoda Liyanage Nilan Indika Samarasinghe
8 -	Herath Mudiyanselage Hemasiri Keerthi Herath
9 -	Warnasooriya Patabandige Ajith Priyalal
10 -	Kaluhetti Arachchige Anasta Anoma Perera
11 -	Godigamuwage Chandradasa Alias Godigamuwage Chandradasa Godigamuwa
12 -	Rajapakshalage Chaminda Ranaweera Rajapaksha
13 -	Mohomad Munas Mohomad Museen
14 -	Malmala Kankanamalage Indrani Niroshanee
15 -	Udawaththa Arachchige Sumedha Manjula Udawaththa
16 -	Weerasinghe Arachchige Kumara Wansha Somaweera
17 -	Namperu Mudiyanselage Lasantha Manjula
18 -	Gamaralalage Chaminda Somarathna
19 -	Mohamad Gaus Mohamad Fahim
20 -	Rathnayaka Disawage Dhammika Sampath Premarathna
21 -	Rathnayaka Kaluarachchige Naleen Chaminda Rathnayaka
22 -	Edirisinghe Arachchilage Wasantha Kumara Edirisinghe
23 -	Athugalge Sanjaya Athugala
24 -	Ajith Dewananda Wagasenavi
25 -	Jayasundara Mudiyanselage Janaka Sugath Bandara
