ward	name
1 -	Rathnayaka Mudiyanselage Wijebandara
2 -	Wickramage Sooriya Kantha
3 -	Palamandala Panikkiyalage Nandawathi
4 -	Thaheer Mohomad Safran
5 -	Wagage Wasantha Udaya Kumara Premachandra
6 -	Wagage Niuton Jayasinghe
7 -	Adhikari Mudyanselage Jayasundara
8 -	Maningamuwalage Sarath Wijesinghe
9 -	Wasthu Durayalage Hasalika Niloshi Jayarathna
10 -	Waduge Iresha Dilhani Mendis Aluvihare
11 -	Meragal Pedige Pradeep Priyankara Wickramasinghe
12 -	Akurange Dilan Padmasiri Jayawardhana
13 -	Akuranage Mahesh Jayasanka Akurana
14 -	Samudrage Sumeda Madusanka Weerasinghe
15 -	Gardi Hewage Akila Indika Fernando
16 -	Edirisinghe Arachchilage Chamara Madusanka Edirisinghe
17 -	Waga Pedige Ariyadasa
18 -	Kuruppu Arachchillage Inoka Chalin De Bandara Dissanayaka
20 -	Samudrage Thishara Dinidu Gunasinghe
21 -	Marasinghege Thilan Harshana Ediriweera
22 -	Edirisinghe Arachchilage Manoj Priyankara Edirisinghe
23 -	Wal Amba Ganithage Jeewa Priyanthi
24 -	Wagage Pushpitha Madhubhashana Jayasinghe
25 -	Kelegedara Kaluhoda Dewayalage Indika Mahesh Sampath
