ward	name
1 -	Ranhoti Pedi Durayalage Ajith Somakumara
2 -	Hitihamillage Ajitha Senarath Kumarasinghe
3 -	Ihalagedara Upul Chandana Jayalath
4 -	Weththige Upul Priyantha Perera
5 -	Baththirange Sumudu Maduranga Jayasena
6 -	Baththirange Amila Jeevantha Herath
7 -	Javarange Karuna Priyantha Kamal Abeyrathna
8 -	Godakanda Arachchige Jagath Wijesundara
9 -	Dissanayaka Mudiyanselage Sunanda Kumari Dissanayaka
10 -	Diyunugalge Nishantha Kristopal Rathnasinghe
11 -	Dahanaka Mudiyanselage Lakshika Premawardhana
12 -	Ambagahakotuwe Gedara Nilantha Saman Bandara Dissanayake
13 -	Yapa Mudiyanselage Anura Bandara
14 -	Mahamuthu Galage Sudhara Sadakelum Perera
15 -	Wijesinghe Mudiyanselage Renuka Wijesinghe
16 -	Rajapaksha Durayalage Dhanushka Sadakelum Kularathna
