ward	name
1 - Sinhapura	S.S. Herath Mudiyanselage Welakonawaththe Gedara Wasantha Saman Kumara Senanayake
2 - Kandakaduwa	Arachchi Mudiyanselage Janaka Sampath Bandara
3 - Kattuvanwila	Asanarlebbe Nuhulebbe
4 - Karapola	Kalupage Sumanasiri Bandara
5 - sandunpitiya	Ihala Yaddehi Gedara Wasantha Bandara
6 - Mahsenpura	Keragalage Vishwa Madhusanka Keragala
7 - Kadawathamaduwa	Medawala Lekamlage Wimalarathna
8 - Monarathenna	Kahavitage Don Donesh Viranga Kahavita
9 - Sevanapitiya	Marasinghe Arachchilage Srilal Wasantha Kumara Bandara
10 - Nelumvewa	Herath Mudiyanselage Chamika Roshani Amarasekara
