ward	name
1 - Wewagama	Wickrama Kankanamalage Siripala
2 - Jathuwangoda	Loku Liyanage Thanuja Kumara Alwis
3 - Kalawana	Geekiyana Kankanamalage Mahesh Chamara Maheepala
4 - Thapassarakanda	Suduwella Arachchige Nilmini Kanthi Suduwella
5 - Hangarangala	Karandana Widange Sameera Maduranga Wimala Sekara
6 - Delgoda	Rankiri Pathirannehelage Sanjeewa Pushpa Kumara
7 - Weddagala	Pethigalage Nandapala
8 - Panapola	Hewa Arachchilage Buddhila Kishal Kithsiri
9 - Pothupitiya	Ransingha Arachchillage Pradeep Chinthaka Gunawardhana
10 - Rambuka	Weerasingha Arachchilage Nirosha Virajinee Weerasinghe
